CODE_DEPT;site;gps_lat;gps_lng;POP
10;TROYES;48.297910254777;4.0804805095541;13
10;PONT SAINTE MARIE;48.318244666667006;4.0946557777778;1
11;NARBONNE;43.164905253863;3.0302193818984997;2
11;CARCASSONNE;43.209733696808;2.3587507446808;2
11;SAINT DENIS;43.356494853801;2.2179788304094;116
12;RODEZ;44.357317388535;2.5701801273885;1
13;MARSEILLE;43.300771000000005;5.3821768;471
13;MARIGNANE;43.421433732394;5.2223191549295995;11
13;AIX EN PROVENCE;43.4984739;5.4463322;21
13;ST MARTIN DE CRAU;43.644506243655;4.8538767005076;3
14;LISIEUX;49.144053574660994;0.23814886877827998;21
14;CAEN;49.181788058824;-0.37257017647059;263
16;L ISLE D ESPAGNAC;45.6632375;0.19825416666667003;59
16;MERIGNAC;45.695553169014;-0.06950154929577;137
16;VALENCE;45.885659368421;0.31674757894737;42
18;CHAUMONT;46.841783384615;2.7522649230768996;20
18;BOURGES;47.07978144;2.39508816;2
19;MALEMORT SUR CORREZE;45.180874713805;1.5924456565657;3
2;MOULINS;49.419940847458;3.681233220339;23
2;SAINT QUENTIN;49.84634779660999;3.2884629378531005;20
21;DIJON;47.325183133641005;5.035672857142901;302
22;ST BRIEUC;48.515869140893;-2.7629354295532997;65
22;LANNION;48.743359845475;-3.4595800662252003;26
24;BOULAZAC;45.180547999999995;0.768949;2
25;BESANCON;47.259314198113;6.027180188679299;15
27;EVREUX;49.02021380117001;1.1399495321637;1
28;CHARTRES;48.448704146341;1.4996895121951002;1
28;MONTREUIL SOUS BOIS;48.777852396694;1.3791876033058;21
29;QUIMPER;47.99010443509599;-4.0919223557692;31
29;BREST;48.402931706263;-4.5017455939525;5
3;PERIGNY;46.244145928570994;3.5583650000000002;6
3;CHATILLON;46.459066300578;3.1276178034682;1
30;VILLENEUVE LES AVIGNON;43.982695294118;4.8055178431373;1
31;TOULOUSE;43.6046256;1.444205;330
31;BLAGNAC;43.639280487805;1.3797474390243998;5
32;SAINT MARTIN;43.507710825688;0.37904073394495;1
33;PESSAC;44.802078984375;-0.651239296875;53
33;BORDEAUX;44.8350088;-0.5872689999999999;174
33;EYSINES;44.880915747126;-0.64581091954023;1
34;BEZIERS;43.356315015106;3.2316181873112;1
34;MONTPELLIER;43.6047275;3.9011747000000003;686
35;RENNES;48.1173421;-1.7075198;186
35;CESSON SEVIGNE;48.120751294118;-1.5913900392157;3
37;TOURS;47.3832745;0.6897966;151
38;GRENOBLE;45.18942979999999;5.7165413;50
4;LA GARDE;43.819540144928;6.5658363768116;76
40;MONT DE MARSAN;43.889819190751;-0.48165;12
42;SAINT ETIENNE;45.450626;4.3859432;37
42;ST ETIENNE;45.450626;4.3859432;48
44;VERTOU;47.154039754097994;-1.4733216803278997;1
44;NANTES;47.2239586;-1.5408058;437
45;ORLEANS;47.910832899999996;1.9157977;58
46;CAHORS;44.447490825958994;1.4370111504425;26
47;AGEN;44.207674144144;0.6302275675675699;5
49;CHOLET;47.032323044097005;-0.88138581792319;26
49;ANGERS;47.501835;-0.517146;106
50;SAINT LO;49.105617288889;-1.0869916888889;31
51;BEZANNES;49.221121818182;3.9918907272727;86
51;REIMS;49.249394921466;4.0397856544502995;8
54;NANCY;48.689645899999995;6.1737197;136
57;METZ;49.1193074;6.1757235999999995;241
57;THIONVILLE;49.370974389671;6.1428669248825996;70
59;CAMBRAI;50.174166097561;3.2379126341463;2
59;VALENCIENNES;50.36229312;3.51516936;1
59;LILLE;50.61381110000001;3.0423598999999997;125
59;VILLENEUVE D ASCQ;50.6551537;3.1468771;338
6;ANTIBES;43.5667679;7.122478200000001;22
6;MOUGINS;43.5905203125;6.9991670625;80
6;NICE;43.6960355;7.265589599999999;11
60;CREIL;49.255792368421;2.4796267105262997;1
60;MARGNY LES COMPIEGNE;49.427172083333;2.8132169444444;2
60;BEAUVAIS;49.4405213;2.08471155;5
61;FLERS;48.740522872727006;-0.5668493818181801;7
62;ARRAS;50.289051111111;2.7669668333332997;44
62;BETHUNE;50.527013451327;2.6409672566372002;34
62;BOULOGNE SUR MER;50.72747455128199;1.606426474359;2
63;CLERMONT FERRAND;45.771264;3.1198023;65
64;PAU;43.317266319018;-0.3459342944785301;48
64;ANGLET;43.489670986842;-1.514426381579;2
65;TARBES;43.233946491228;0.06645640350877;95
66;PERPIGNAN;42.72018129999999;2.8876436;2
67;SCHILTIGHEIM;48.613979151515;7.750611212121201;120
68;MULHOUSE;47.74134960000001;7.345685700000001;74
68;ILLZACH;47.775537383178;7.3595108411215;9
69;LYON;45.77129179999999;4.8280831;348
69;CHESSY;45.8896285;4.616379;60
7;SAINT PRIVAT;44.629857128713;4.4239027722772;23
71;CHARNAY LES MACON;46.302280349650005;4.781047622377599;1
71;CHALON SUR SAONE;46.78945592233;4.8440952427185;1
72;LE MANS;48.015780299999996;0.1609266;3
73;CHAMBERY;45.579975771144;5.9129007960199;43
74;ANNECY;45.8971718;6.1251614000000005;118
75;PARIS;48.8640493;2.3310526;1785
76;ROUEN;49.4464909;1.0976001;174
76;LE HAVRE;49.476996;0.1639479;3
77;LOGNES;48.83369255814;2.6375037209302;80
77;MAGNY LE HONGRE;48.867886125;2.819585375;54
78;GUYANCOURT;48.773128857143;2.073257;109
79;NIORT;46.325938939394;-0.46813598484848;2
8;CHARLEVILLE MEZIERES;49.775825972222;4.720758125;1
80;AMIENS;49.89905;2.2752772;38
81;ALBI;43.918466289753;2.1455173851589997;1
82;MONTAUBAN;44.022476439791;1.3716550785339998;26
83;TOULON;43.1146883;5.9488975;10
